nx,ny,passos_tempo,tempo_segundos,threads
1024,1024,5000,2.265124,1
2048,2048,5000,9.608521,1
4096,4096,5000,38.038807,1
8192,8192,5000,154.989341,1
1024,1024,5000,1.125846,2
2048,2048,5000,4.875910,2
4096,4096,5000,20.318442,2
8192,8192,5000,100.582201,2
1024,1024,5000,0.575456,4
2048,2048,5000,2.454016,4
4096,4096,5000,9.936641,4
8192,8192,5000,54.838472,4
1024,1024,5000,0.312014,8
2048,2048,5000,1.271016,8
4096,4096,5000,4.870265,8
8192,8192,5000,34.633294,8
1024,1024,5000,0.220305,16
2048,2048,5000,0.710563,16
4096,4096,5000,3.354698,16
8192,8192,5000,15.628541,16
1024,1024,5000,0.402133,32
2048,2048,5000,0.650991,32
4096,4096,5000,1.965864,32
8192,8192,5000,21.133860,32
1024,1024,5000,0.884882,64
2048,2048,5000,0.591862,64
4096,4096,5000,1.653860,64
8192,8192,5000,11.325150,64
1024,1024,5000,0.989581,128
2048,2048,5000,1.015173,128
4096,4096,5000,2.579116,128
8192,8192,5000,6.249288,128
1024,1024,5000,4.003380,256
2048,2048,5000,2.765847,256
4096,4096,5000,5.401290,256
8192,8192,5000,9.963386,256
