tipo_execucao,nx,ny,passos_tempo,tempo_segundos,threads
1024,1024,1024,5000,2.288757,1
2048,2048,2048,5000,10.058681,1
4096,4096,4096,5000,38.325260,1
8192,8192,8192,5000,154.990153,1
1024,1024,1024,5000,1.148655,2
2048,2048,2048,5000,4.995562,2
4096,4096,4096,5000,23.171081,2
8192,8192,8192,5000,106.239642,2
1024,1024,1024,5000,0.582141,4
2048,2048,2048,5000,2.534181,4
4096,4096,4096,5000,20.820791,4
8192,8192,8192,5000,101.355745,4
1024,1024,1024,5000,0.299275,8
2048,2048,2048,5000,1.328133,8
4096,4096,4096,5000,21.646778,8
8192,8192,8192,5000,104.779989,8
1024,1024,1024,5000,0.168961,16
2048,2048,2048,5000,0.647300,16
4096,4096,4096,5000,14.897507,16
8192,8192,8192,5000,92.716611,16
1024,1024,1024,5000,0.105945,32
2048,2048,2048,5000,0.357454,32
4096,4096,4096,5000,3.296540,32
8192,8192,8192,5000,69.802978,32
1024,1024,1024,5000,0.109152,64
2048,2048,2048,5000,0.269312,64
4096,4096,4096,5000,0.845406,64
8192,8192,8192,5000,46.035681,64
1024,1024,1024,5000,0.365683,128
2048,2048,2048,5000,0.440203,128
4096,4096,4096,5000,0.731535,128
8192,8192,8192,5000,9.834831,128
1024,1024,1024,5000,71.235481,256
2048,2048,2048,5000,70.960762,256
4096,4096,4096,5000,72.902040,256
8192,8192,8192,5000,99.139209,256
