tipo_execucao,nx,ny,passos_tempo,tempo_segundos,threads
1024,1024,1024,5000,2.282049,1
2048,2048,2048,5000,9.558058,1
4096,4096,4096,5000,37.970153,1
8192,8192,8192,5000,154.872111,1
1024,1024,1024,5000,1.139996,2
2048,2048,2048,5000,4.864560,2
4096,4096,4096,5000,20.355633,2
8192,8192,8192,5000,100.445467,2
1024,1024,1024,5000,0.580916,4
2048,2048,2048,5000,2.451066,4
4096,4096,4096,5000,9.751002,4
8192,8192,8192,5000,47.447520,4
1024,1024,1024,5000,0.313593,8
2048,2048,2048,5000,1.270352,8
4096,4096,4096,5000,4.884066,8
8192,8192,8192,5000,34.246821,8
1024,1024,1024,5000,0.208640,16
2048,2048,2048,5000,0.709304,16
4096,4096,4096,5000,2.609742,16
8192,8192,8192,5000,36.556571,16
1024,1024,1024,5000,0.380758,32
2048,2048,2048,5000,0.829936,32
4096,4096,4096,5000,2.272446,32
8192,8192,8192,5000,13.665989,32
1024,1024,1024,5000,0.453432,64
2048,2048,2048,5000,0.707339,64
4096,4096,4096,5000,1.869195,64
8192,8192,8192,5000,9.778630,64
1024,1024,1024,5000,0.647845,128
2048,2048,2048,5000,1.573567,128
4096,4096,4096,5000,2.763749,128
8192,8192,8192,5000,16.332611,128
1024,1024,1024,5000,1.536356,256
2048,2048,2048,5000,3.069670,256
4096,4096,4096,5000,5.714510,256
8192,8192,8192,5000,42.116907,256
