Metodo,Tamanho_Bytes,Tempo_Segundos,Banda_MBs
MPI_Send,8,0.00000030,25.45
MPI_Send,32,0.00000041,74.52
MPI_Send,128,0.00000043,283.34
MPI_Send,512,0.00000044,1112.24
MPI_Send,2048,0.00000067,2933.73
MPI_Send,8192,0.00000162,4819.25
MPI_Send,32768,0.00000434,7193.64
MPI_Send,131072,0.00001124,11118.27
MPI_Send,524288,0.00003804,13144.85
MPI_Ssend,8,0.00000052,14.61
MPI_Ssend,32,0.00000072,42.61
MPI_Ssend,128,0.00000062,197.86
MPI_Ssend,512,0.00000072,675.23
MPI_Ssend,2048,0.00000085,2285.64
MPI_Ssend,8192,0.00000175,4476.81
MPI_Ssend,32768,0.00000446,7007.91
MPI_Ssend,131072,0.00001121,11149.41
MPI_Ssend,524288,0.00003912,12782.66
MPI_Bsend,8,0.00000036,21.37
MPI_Bsend,32,0.00000048,63.23
MPI_Bsend,128,0.00000047,260.24
MPI_Bsend,512,0.00000049,1002.08
MPI_Bsend,2048,0.00000084,2335.39
MPI_Bsend,8192,0.00000180,4349.94
MPI_Bsend,32768,0.00000551,5675.68
MPI_Bsend,131072,0.00001592,7854.03
MPI_Bsend,524288,0.00006107,8187.26
MPI_Rsend,8,0.00000043,17.55
MPI_Rsend,32,0.00000059,51.80
MPI_Rsend,128,0.00000088,138.70
MPI_Rsend,512,0.00000055,894.14
MPI_Rsend,2048,0.00000093,2089.48
MPI_Rsend,8192,0.00000177,4414.35
MPI_Rsend,32768,0.00000471,6630.12
MPI_Rsend,131072,0.00001215,10287.45
MPI_Rsend,524288,0.00004138,12082.61
