threads,M,N,tempo(s)
1,16384,16384,0.526885
2,16384,16384,0.474797
4,16384,16384,0.396780
8,16384,16384,0.353807
16,16384,16384,0.119825
32,16384,16384,0.113421
64,16384,16384,0.116373
128,16384,16384,0.129257
1,24576,24576,1.780043
2,24576,24576,1.650379
4,24576,24576,1.005455
8,24576,24576,1.010608
16,24576,24576,0.353527
32,24576,24576,0.292554
64,24576,24576,0.337856
128,24576,24576,0.347328
1,32768,32768,3.543047
2,32768,32768,3.183795
4,32768,32768,5.680836
8,32768,32768,1.353534
16,32768,32768,0.460568
32,32768,32768,0.474258
64,32768,32768,0.488066
128,32768,32768,0.510027
1,40960,40960,5.224335
2,40960,40960,4.562762
4,40960,40960,3.121745
8,40960,40960,2.618781
16,40960,40960,0.845890
32,40960,40960,0.791338
64,40960,40960,0.785778
128,40960,40960,0.776326
